name,year,runtime,runtime_category,favorability_rounded,positive,neutral,negative,rating_normalized,country_normalized,genre_normalized
Paper Towns,2015,109.0,2,0.79,123,95,32,0,1,0
The Lady in the Van,2015,104.0,2,0.84,144,78,28,0,0,7
Child 44,2015,137.0,2,0.61,104,79,67,1,10,4
The Wave,2015,105.0,2,0.58,87,101,63,1,14,3
A Man Called Ove,2015,116.0,2,0.88,70,32,10,0,19,1
Beasts of No Nation,2015,137.0,2,0.63,95,99,56,7,1,2
Me and Earl and the Dying Girl,2015,105.0,2,0.68,127,64,59,0,1,1
Sleeping with Other People,2015,101.0,2,0.69,121,74,54,1,1,1
Concussion,2015,123.0,2,0.68,109,89,52,0,0,7
The Diary of a Teenage Girl,2015,102.0,2,0.82,18,30,4,1,1,1
The Walk,2015,123.0,2,0.67,109,87,54,2,1,3
Tangerine,2015,88.0,1,0.76,122,89,39,1,1,1
A Walk in the Woods,2015,104.0,2,0.77,135,75,40,1,1,0
Sinister 2,2015,97.0,1,0.52,86,85,79,1,1,5
Summertime,2015,105.0,2,0.76,110,105,35,4,2,2
Anomalisa,2015,90.0,1,0.61,103,80,67,1,0,8
The Blackcoat's Daughter,2015,93.0,1,0.48,98,46,106,1,4,5
Mississippi Grind,2015,108.0,2,0.88,21,11,3,1,1,1
Attack on Titan Part 1,2015,98.0,1,0.46,47,148,55,4,21,3
Woman in Gold,2015,109.0,2,0.68,61,63,29,0,0,7
Eddie the Eagle,2015,106.0,2,0.86,138,89,23,0,0,7
Eye in the Sky,2015,102.0,2,0.4,67,82,101,1,0,3
The Second Best Exotic Marigold Hotel,2015,122.0,2,0.84,141,72,27,2,0,1
Tumbledown,2015,105.0,2,0.74,111,75,38,1,1,1
Poltergeist,1982,114.0,2,0.57,87,97,66,2,1,5
Poltergeist,2015,93.0,1,0.57,87,97,66,0,1,5
The Meddler,2015,103.0,2,1.0,3,1,0,0,1,1
We Are Your Friends,2015,96.0,1,0.77,110,107,33,1,0,2
Into the Forest,2015,101.0,2,0.46,92,52,106,1,4,2
Grandma,2015,79.0,1,0.71,99,53,41,1,1,1
Bajirao Mastani,2015,158.0,2,0.92,117,123,10,4,13,3
By the Sea,2015,122.0,2,0.53,51,39,46,1,2,2
Mortdecai,2015,107.0,2,0.77,54,33,16,1,0,3
I'll See You in My Dreams,2015,92.0,1,0.83,45,25,9,0,1,1
Maggie,2015,95.0,1,0.61,87,108,55,0,1,2
Project Almanac,2015,106.0,2,0.79,22,26,6,0,1,2
Regression,2015,106.0,2,0.56,77,113,60,1,15,4
True Story,2015,99.0,1,0.56,41,41,32,1,1,7
The Man Who Knew Infinity,2015,108.0,2,0.73,99,115,36,0,0,7
The Transporter Refueled,2015,96.0,1,0.51,79,94,77,0,2,3
Z for Zachariah,2015,98.0,1,0.8,8,22,2,0,32,2
Equals,2015,101.0,2,0.76,76,149,24,0,1,2
Dope,2015,103.0,2,0.77,107,111,32,1,1,0
Land of Mine,2015,100.0,1,0.51,78,96,76,1,11,2
Hot Pursuit,1987,93.0,1,0.82,67,55,15,0,1,1
Hot Pursuit,2015,87.0,1,0.82,67,55,15,0,1,3
Krampus,2015,98.0,1,0.59,91,97,62,0,1,1
Bajrangi Bhaijaan,2015,163.0,2,0.94,109,134,7,4,13,3
The Lure,2015,92.0,1,0.65,64,77,35,4,30,2
The Gunman,2015,115.0,2,0.66,116,73,60,1,1,3
The Night Before,2015,101.0,2,0.73,97,118,35,1,1,1
90 Minutes in Heaven,2015,121.0,2,0.54,104,59,87,0,1,2
Tale of Tales,2015,134.0,2,0.61,97,91,62,1,20,2
Ip Man 3,2015,105.0,2,0.6,72,129,49,0,7,3
"McFarland, USA",2015,129.0,2,0.75,128,76,43,2,1,7
Rock the Kasbah,2015,106.0,2,0.62,107,78,65,1,1,1
The Sea of Trees,2015,110.0,2,0.62,106,79,65,0,1,2
The Lazarus Effect,2015,83.0,1,0.52,85,86,79,0,1,5
Love the Coopers,2015,107.0,2,0.83,5,8,1,0,1,1
The 33,2015,127.0,2,0.62,77,125,48,0,33,7
The Little Prince,2015,108.0,2,0.7,117,83,50,2,2,8
Louder Than Bombs,2015,109.0,2,0.67,91,115,45,1,14,2
The Gallows,2015,81.0,1,0.45,73,83,91,1,1,5
The Ones Below,2015,87.0,1,0.54,69,69,59,1,0,2
Southbound,2015,89.0,1,0.51,100,53,96,1,1,5
Men & Chicken,2015,104.0,2,0.58,7,3,5,4,11,1
Hyena Road,2015,120.0,2,0.57,86,87,65,1,4,3
Slow West,2015,84.0,1,0.75,124,85,41,1,0,3
The End of the Tour,2015,106.0,2,0.62,5,3,3,1,1,7
Cop Car,2015,88.0,1,0.55,26,34,21,1,1,4
Jem and the Holograms,2015,118.0,2,0.52,82,92,77,2,1,0
Cemetery of Splendor,2015,122.0,2,0.8,4,6,1,5,9,2
Captive,2015,97.0,1,0.0,0,1,0,0,1,3
Our Brand Is Crisis,2015,107.0,2,0.63,97,95,58,1,1,1
Unfinished Business,2015,91.0,1,0.75,123,87,40,1,1,1
Hot Tub Time Machine 2,2015,93.0,1,0.62,101,86,63,1,1,1
Ricki and the Flash,2015,101.0,2,0.67,111,82,54,0,1,1
Mr. Holmes,2015,104.0,2,0.75,112,101,37,2,0,2
45 Years,2015,91.0,1,0.67,30,13,15,1,0,2
Mother's Day,2016,118.0,2,0.73,104,108,38,0,1,1
The Magnificent Seven,2016,132.0,2,0.73,120,85,45,0,1,3
Captain America: Civil War,2016,147.0,2,0.69,110,90,50,0,1,3
Don't Breathe,2016,88.0,1,0.53,88,83,79,1,1,4
A United Kingdom,2016,111.0,2,0.75,24,15,8,0,10,7
Julieta,2016,99.0,1,0.65,13,8,7,1,15,2
Buster's Mal Heart,2016,96.0,1,0.69,92,116,42,5,1,4
Complete Unknown,2016,91.0,1,0.65,88,114,48,1,1,2
This Beautiful Fantastic,2016,92.0,1,0.83,123,102,25,2,0,1
Incarnate,2016,87.0,1,0.6,97,87,66,0,1,5
The Innocents,2016,115.0,2,0.65,87,48,46,0,2,2
Thor: Ragnarok,2017,130.0,2,0.75,113,101,37,0,1,3
Darkest Hour,2017,125.0,2,0.43,73,82,96,0,0,7
The Hitman's Bodyguard,2017,118.0,2,0.58,88,99,63,1,1,3
It,2017,135.0,2,0.67,89,117,44,1,1,5
Spider-Man: Homecoming,2017,133.0,2,0.67,111,85,54,0,1,3
Blade Runner 2049,2017,164.0,2,0.63,88,111,51,1,1,3
Guardians of the Galaxy Vol. 2,2017,136.0,2,0.81,120,102,28,0,1,3
Jumanji: Welcome to the Jungle,2017,119.0,2,0.77,118,96,36,0,1,3
Baywatch,2017,116.0,2,0.75,96,122,32,1,0,3
Home Again,2017,97.0,1,0.72,106,103,41,0,1,1
The Fate of the Furious,2017,136.0,2,0.55,89,89,72,0,7,3
Get Out,2017,104.0,2,0.59,99,83,68,1,1,5
Dunkirk,2017,106.0,2,0.59,84,107,59,0,0,3
Baby Driver,2017,113.0,2,0.66,99,101,50,1,0,3
Logan,2017,137.0,2,0.83,126,99,25,1,1,3
Wonder Woman,2017,141.0,2,0.8,103,123,25,0,1,3
Alien: Covenant,2017,122.0,2,0.51,70,114,67,1,1,5
John Wick: Chapter 2,2017,122.0,2,0.65,84,120,46,1,1,3
Wonder,2017,113.0,2,0.76,117,96,37,2,1,2
Justice League,2017,120.0,2,0.62,86,112,52,0,1,3
Mother!,2017,121.0,2,0.49,88,69,93,1,1,2
Pirates of the Caribbean: Dead Men Tell No Tales,2017,129.0,2,0.63,98,94,58,0,1,3
The Shape of Water,2017,123.0,2,0.77,127,85,38,1,1,0
Disobedience,2017,114.0,2,0.72,113,92,45,1,6,2
Kong: Skull Island,2017,118.0,2,0.72,99,113,38,0,1,3
Kingsman: The Golden Circle,2017,141.0,2,0.77,123,91,36,1,0,3
"Three Billboards Outside Ebbing, Missouri",2017,115.0,2,0.67,14,4,7,1,0,1
Beast,2017,107.0,2,0.39,67,79,104,1,0,4
"I, Tonya",2017,119.0,2,0.67,105,95,51,1,1,7
Atomic Blonde,2017,115.0,2,0.76,117,96,37,1,1,3
Wind River,2017,107.0,2,0.66,128,55,67,1,0,4
Murder on the Orient Express,2017,114.0,2,0.65,104,91,55,0,34,4
King Arthur: Legend of the Sword,2017,126.0,2,0.78,155,52,43,0,0,3
Lady Bird,2017,94.0,1,0.74,125,80,45,1,1,1
The Killing of a Sacred Deer,2017,121.0,2,0.39,81,43,127,1,6,2
Logan Lucky,2017,118.0,2,0.69,118,80,52,0,1,1
Fifty Shades Darker,2017,118.0,2,0.65,91,109,50,1,1,2
Happy Death Day,2017,96.0,1,0.62,87,109,54,0,1,1
Transformers: The Last Knight,2017,154.0,2,0.56,90,90,70,0,1,3
Good Time,2017,102.0,2,0.76,141,64,45,1,1,4
Ghost in the Shell,1995,83.0,1,0.66,118,71,61,7,21,8
Ghost in the Shell,2017,107.0,2,0.66,118,71,61,0,1,3
Molly's Game,2017,140.0,2,0.84,135,89,26,1,7,7
Hostiles,2017,134.0,2,0.72,136,60,54,1,1,2
Valerian and the City of a Thousand Planets,2017,136.0,2,0.72,129,72,49,0,2,3
The Dark Tower,2017,95.0,1,0.57,93,88,69,0,1,3
Pitch Perfect 3,2017,93.0,1,0.7,108,96,46,0,1,1
American Assassin,2017,111.0,2,0.65,107,86,57,1,1,3
You Were Never Really Here,2017,89.0,1,0.58,108,64,78,1,0,4
The Florida Project,2017,111.0,2,0.64,116,70,64,1,1,2
Life,1999,108.0,2,0.52,86,86,78,1,1,1
Life,2017,104.0,2,0.52,86,86,78,1,0,5
Gifted,2017,101.0,2,0.78,116,101,33,0,1,2
Phantom Thread,2017,130.0,2,0.75,118,93,39,1,1,2
The Upside,2017,126.0,2,0.73,127,76,47,0,1,1
Berlin Syndrome,2017,116.0,2,0.62,94,99,57,1,3,2
Annabelle: Creation,2017,109.0,2,0.52,71,114,65,1,1,5
American Made,2017,115.0,2,0.68,118,76,56,1,1,3
War for the Planet of the Apes,2017,140.0,2,0.57,84,103,63,0,1,3
Geostorm,2017,109.0,2,0.67,86,122,42,0,1,3
The Circle,2017,110.0,2,0.54,81,101,68,0,23,2
Rough Night,2017,101.0,2,0.64,98,98,54,1,1,1
xXx: Return of Xander Cage,2017,107.0,2,0.81,99,128,23,0,7,3
The Mummy,1999,124.0,2,0.64,103,89,58,0,1,3
The Mummy,2017,110.0,2,0.64,103,89,58,0,1,3
CHIPS,2017,100.0,1,0.53,91,77,82,1,1,3
Only the Brave,2017,134.0,2,0.65,99,63,53,0,1,3
The Beguiled,2017,93.0,1,0.63,104,84,62,1,1,2
The Glass Castle,2017,127.0,2,0.69,72,43,33,0,1,7
Papillon,2017,133.0,2,0.76,112,103,35,1,1,0
The Big Sick,2017,120.0,2,0.72,126,77,48,1,1,1
The Endless,2017,111.0,2,0.69,123,72,55,4,1,2
Thoroughbreds,2017,92.0,1,0.65,120,64,66,1,1,1
The Foreigner,2017,113.0,2,0.67,114,81,55,1,0,3
Revenge,1990,124.0,2,0.62,81,119,49,1,1,3
Revenge,2017,108.0,2,0.62,81,119,49,1,2,3
Jigsaw,2017,92.0,1,0.63,82,120,48,1,4,4
The Snowman,2017,119.0,2,0.39,64,87,99,1,0,4
The Disaster Artist,2017,104.0,2,0.76,120,93,37,1,1,7
47 Meters Down,2017,89.0,1,0.59,98,83,69,0,0,0
The Post,2017,116.0,2,0.64,83,121,46,0,1,2
"Everything, Everything",2017,96.0,1,0.82,117,107,26,0,1,2
A Ghost Story,2017,92.0,1,0.57,111,55,84,1,1,2
Sweet Virginia,2017,93.0,1,0.88,37,23,5,1,4,3
Power Rangers,2017,124.0,2,0.66,97,104,49,0,1,3
Lucky,2017,88.0,1,0.81,120,73,28,4,1,1
All the Money in the World,2017,132.0,2,0.72,110,98,42,1,1,7
Suburbicon,2017,105.0,2,0.42,70,85,95,1,0,1
It Comes at Night,2017,91.0,1,0.39,69,75,106,1,1,5
Before I Fall,2017,98.0,1,0.78,142,69,39,0,1,2
Lean on Pete,2017,121.0,2,0.72,104,58,40,1,0,0
Take Me,2017,83.0,1,0.68,108,92,50,7,1,1
The Last Movie Star,2017,94.0,1,0.74,115,73,40,1,1,2
Along With the Gods: The Two Worlds,2017,139.0,2,0.72,102,109,39,4,17,3
First Man,2018,141.0,2,0.57,93,86,71,0,1,7
Rampage,1987,97.0,1,0.74,114,95,41,1,1,2
Rampage,2018,107.0,2,0.74,114,95,41,0,1,3
Everybody Knows,2018,133.0,2,0.68,42,31,20,1,15,4
Mid90s,2018,85.0,1,0.76,99,120,31,1,1,1
Replicas,2018,107.0,2,0.57,103,70,77,0,0,2
Widows,2018,129.0,2,0.71,115,89,47,1,0,4
Burning,2018,148.0,2,0.73,119,86,45,4,17,2
Searching,2018,102.0,2,0.71,125,74,51,0,1,2
Life Itself,2018,117.0,2,0.77,148,58,44,1,1,2
Blockers,2018,102.0,2,0.71,118,83,49,1,1,1
The Strangers: Prey at Night,2018,85.0,1,0.52,91,75,84,1,1,5
Peppermint,2018,101.0,2,0.64,113,74,63,1,8,3
Every Day,2018,97.0,1,0.85,152,70,27,0,4,2
Operation Finale,2018,122.0,2,0.68,104,98,48,0,1,7
Shoplifters,2018,121.0,2,0.72,109,98,43,1,21,4
Blindspotting,2018,95.0,1,0.58,97,83,70,1,1,1
The Sisters Brothers,2018,122.0,2,0.73,119,86,45,1,2,4
The Nightingale,2018,136.0,2,0.41,82,51,117,1,3,0
Greta,2018,98.0,1,0.63,110,75,65,1,6,2
I Feel Pretty,2018,110.0,2,0.85,154,68,28,0,7,1
Hotel Artemis,2018,94.0,1,0.71,106,100,44,1,0,3
Slender Man,2018,93.0,1,0.54,82,98,71,0,1,5
Trial by Fire,2018,127.0,2,0.47,36,29,41,1,1,7
American Woman,2018,111.0,2,0.74,31,19,11,1,0,2
Book Club,2018,104.0,2,0.72,136,62,52,0,1,1
Slaughterhouse Rulez,2018,104.0,2,0.59,80,116,55,1,0,3
Sorry to Bother You,2018,112.0,2,0.63,107,79,64,1,1,1
Pacific Rim: Uprising,2018,111.0,2,0.66,106,89,55,0,0,3
Holmes & Watson,2018,90.0,1,0.53,48,35,42,0,1,1
The Darkest Minds,2018,104.0,2,0.62,90,107,54,0,1,3
Cold War,2018,89.0,1,0.76,114,100,36,1,30,2
Truth or Dare,2018,100.0,1,0.68,92,114,44,0,1,5
Alpha,2018,96.0,1,0.76,131,78,41,0,1,3
At Eternity's Gate,2018,111.0,2,0.66,83,125,42,0,6,7
Overboard,1987,112.0,2,0.81,122,101,28,2,1,1
Overboard,2018,112.0,2,0.81,122,101,28,0,1,1
Summer of 84,2018,105.0,2,0.73,16,14,6,4,4,2
Arctic,2018,98.0,1,0.71,122,77,51,0,32,0
A Wrinkle in Time,2018,109.0,2,0.61,102,84,64,2,1,0
London Fields,2018,118.0,2,0.53,87,85,78,1,0,4
Andhadhun,2018,139.0,2,0.77,85,140,25,4,13,4
Hotel Mumbai,2018,123.0,2,0.47,73,95,82,1,3,3
Life of the Party,2018,105.0,2,0.61,110,70,70,0,1,1
American Animals,2018,116.0,2,0.69,119,77,54,1,0,7
The House with a Clock in Its Walls,2018,105.0,2,0.68,110,90,51,2,1,1
Brian Banks,2018,99.0,1,0.45,86,60,104,0,1,7
Gotti,2018,112.0,2,0.64,98,98,54,1,4,7
Destroyer,2018,121.0,2,0.69,111,90,49,1,1,3
We Have Always Lived in the Castle,2018,90.0,1,0.69,55,44,25,4,1,2
The Miseducation of Cameron Post,2018,91.0,1,0.69,111,89,50,4,1,2
Insidious: The Last Key,2018,103.0,2,0.56,82,103,65,0,1,5
Mary Magdalene,2018,120.0,2,0.7,110,93,47,1,0,7
"Don't Worry, He Won't Get Far on Foot",2018,114.0,2,0.73,93,79,34,1,2,7
Can You Ever Forgive Me?,2018,106.0,2,0.84,159,61,30,1,1,7
Unsane,2018,98.0,1,0.57,88,95,67,1,1,2
Boy Erased,2018,115.0,2,0.61,123,48,80,1,3,7
Johnny English Strikes Again,2018,89.0,1,0.72,113,92,45,2,0,3
Skyscraper,2018,102.0,2,0.68,107,92,51,0,1,3
Wildlife,2018,105.0,2,0.68,115,82,53,0,1,2
The Old Man & the Gun,2018,93.0,1,0.78,135,76,39,0,1,7
Forever My Girl,2018,108.0,2,0.89,141,92,18,2,1,1
On the Basis of Sex,2018,120.0,2,0.66,113,80,58,0,1,7
I Want to Eat Your Pancreas,2018,109.0,2,0.55,98,73,79,4,21,8
The Man Who Killed Don Quixote,2018,132.0,2,0.66,98,101,51,4,15,0
The Catcher Was a Spy,2018,94.0,1,0.73,40,30,15,1,1,7
Welcome to Marwen,2018,116.0,2,0.63,112,71,67,0,21,7
Bad Samaritan,2018,110.0,2,0.7,74,33,31,1,1,4
Border,2018,110.0,2,0.74,101,113,36,1,19,4
Gringo,2018,111.0,2,0.63,65,65,38,1,3,3
Assassination Nation,2018,108.0,2,0.7,125,71,54,1,1,3
Unfriended: Dark Web,2018,92.0,1,0.49,66,114,70,1,1,5
The Nutcracker and the Four Realms,2018,99.0,1,0.72,118,87,45,2,1,0
Little Italy,2018,102.0,2,0.6,62,85,41,1,4,1
The Happytime Murders,2018,91.0,1,0.64,98,98,54,1,1,3
